,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,season,division,PA,1B,OBP,BA,SLG,OPS,ISO,HR/PA,K/PA,BB/PA,K/BB,BABIP,wOBA,wRAA,wRC,team
0,10,34,13,2,0,24,3,9,7,2,1,0,8,3,0,1,0,0,0,02/17/2023,neutral,16340,545,Pittsburgh,9,True,10,11,-1,loss,2390368,380,2023,1,44,8,0.5,0.382,0.706,1.206,0.324,0.068,0.182,0.159,1.143,0.417,0.528,7.232,14.14,380
1,11,41,14,2,0,22,2,10,9,2,0,0,9,1,0,0,0,0,0,02/18/2023,neutral,16340,545,Pittsburgh,9,True,11,7,4,win,2390673,380,2023,1,52,10,0.481,0.341,0.537,1.018,0.196,0.038,0.173,0.173,1.0,0.4,0.476,5.787,13.951,380
2,8,35,10,2,0,15,1,8,6,3,0,1,13,1,0,0,2,1,0,02/19/2023,neutral,16340,545,Pittsburgh,9,True,8,5,3,win,2390900,380,2023,1,44,7,0.455,0.286,0.429,0.884,0.143,0.023,0.295,0.136,2.167,0.429,0.417,2.246,9.154,380
0,0,27,1,0,0,1,0,0,3,1,0,0,17,1,0,0,1,0,0,02/17/2023,away,16340,678,Stetson,9,True,0,18,-18,loss,2390285,381,2023,1,31,1,0.161,0.037,0.037,0.198,0.0,0.0,0.548,0.097,5.667,0.1,0.133,-7.406,-2.539,381
1,1,33,8,2,0,10,0,1,1,1,0,1,14,0,0,0,1,0,0,02/18/2023,away,16340,678,Stetson,9,True,1,9,-8,loss,2390523,381,2023,1,36,6,0.278,0.242,0.303,0.581,0.061,0.0,0.389,0.028,14.0,0.421,0.275,-3.381,2.271,381
2,6,28,5,1,0,6,0,4,7,0,2,2,13,2,0,0,1,0,2,02/19/2023,away,16340,678,Stetson,9,True,6,8,-2,loss,2390842,381,2023,1,39,4,0.308,0.179,0.214,0.522,0.035,0.0,0.333,0.179,1.857,0.294,0.272,-3.783,2.34,381
0,6,35,7,1,1,10,0,3,4,2,0,0,9,0,0,0,2,1,0,02/17/2023,away,16340,657,Southern California,9,True,6,8,-2,loss,2390293,386,2023,1,40,5,0.35,0.2,0.286,0.636,0.086,0.0,0.225,0.1,2.25,0.269,0.311,-2.287,3.993,386
1,4,34,8,1,0,12,1,4,1,1,0,0,8,0,1,1,0,0,0,02/18/2023,away,16340,657,Southern California,9,True,4,17,-13,loss,2390530,386,2023,1,36,6,0.278,0.235,0.353,0.631,0.118,0.028,0.222,0.028,8.0,0.28,0.294,-2.683,2.969,386
2,2,30,5,0,0,8,1,2,2,0,0,1,14,0,1,0,1,0,0,02/19/2023,away,16340,657,Southern California,9,True,2,12,-10,loss,2390851,386,2023,1,33,4,0.212,0.167,0.267,0.479,0.1,0.03,0.424,0.061,7.0,0.267,0.223,-4.851,0.33,386
0,11,38,12,1,0,16,1,10,11,0,1,0,10,1,0,0,0,0,0,02/17/2023,neutral,16340,609,Saint Louis,9,True,11,4,7,win,2390314,388,2023,1,50,10,0.46,0.316,0.421,0.881,0.105,0.02,0.2,0.22,0.909,0.393,0.428,3.114,10.964,388
