,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,season,division,PA,1B,OBP,BA,SLG,OPS,ISO,HR/PA,K/PA,BB/PA,K/BB,BABIP,wOBA,wRAA,wRC,team
0,5,29,6,1,2,11,0,4,4,0,1,0,11,0,0,0,1,0,0,02/17/2023,home,16340,466,Nevada,9,True,5,3,2,win,2390288,2,2023,1,34,3,0.294,0.207,0.379,0.673,0.172,0.0,0.324,0.118,2.75,0.316,0.311,-1.944,3.394,2
1,5,32,11,0,0,14,1,4,2,2,0,1,10,1,0,0,1,0,1,02/18/2023,home,16340,466,Nevada,9,True,5,4,1,win,2390526,2,2023,1,37,10,0.405,0.344,0.438,0.843,0.094,0.027,0.27,0.054,5.0,0.476,0.396,1.095,6.904,2
2,7,41,16,3,0,28,3,7,0,2,0,0,12,1,0,0,2,0,0,02/19/2023,home,16340,466,Nevada,9,True,7,9,-2,loss,2390845,2,2023,1,43,10,0.419,0.39,0.683,1.102,0.293,0.07,0.279,0.0,0.0,0.5,0.487,5.268,12.019,2
3,7,32,8,0,0,11,1,5,5,1,0,0,7,0,0,0,1,0,0,02/20/2023,home,16340,466,Nevada,9,True,7,3,4,win,2391069,2,2023,1,38,7,0.368,0.25,0.344,0.712,0.094,0.026,0.184,0.132,1.4,0.292,0.352,-0.582,5.384,2
4,4,37,9,1,0,10,0,4,6,0,0,1,8,0,0,0,1,0,0,02/22/2023,neutral,16340,522,Oklahoma,10,True,4,3,1,win,2391249,2,2023,1,44,8,0.341,0.243,0.27,0.611,0.027,0.0,0.182,0.136,1.333,0.31,0.309,-2.605,4.303,2
0,2,33,7,1,0,8,0,2,4,3,0,0,13,1,0,0,0,0,0,02/17/2023,neutral,16340,725,Army West Point,9,True,2,5,-3,loss,2390312,721,2023,1,40,6,0.35,0.212,0.242,0.592,0.03,0.0,0.325,0.1,3.25,0.35,0.314,-2.164,4.116,721
1,4,37,10,2,0,15,1,4,3,0,0,0,10,0,0,1,0,0,0,02/18/2023,neutral,16340,725,Army West Point,9,True,4,6,-2,loss,2390581,721,2023,1,40,7,0.325,0.27,0.405,0.73,0.135,0.025,0.25,0.075,3.333,0.346,0.34,-1.103,5.177,721
2,9,36,14,1,1,23,2,9,3,2,1,1,12,0,0,0,1,0,0,02/19/2023,neutral,16340,725,Army West Point,9,True,9,3,6,win,2390877,721,2023,1,43,10,0.442,0.389,0.639,1.081,0.25,0.047,0.279,0.07,4.0,0.522,0.474,4.697,11.448,721
3,6,38,10,3,0,19,2,6,1,0,0,1,8,0,0,0,0,0,0,02/20/2023,away,16340,522,Oklahoma,9,True,6,8,-2,loss,2391079,721,2023,1,40,5,0.275,0.263,0.5,0.775,0.237,0.05,0.2,0.025,8.0,0.286,0.335,-1.307,4.973,721
0,14,41,12,5,1,25,2,13,4,0,1,0,10,0,0,0,4,0,0,02/17/2023,away,16340,769,Western Caro.,9,True,14,12,2,win,2390417,5,2023,1,46,4,0.348,0.293,0.61,0.958,0.317,0.043,0.217,0.087,2.5,0.333,0.414,2.207,9.429,5
1,1,24,6,1,1,12,1,1,0,0,0,0,9,1,1,1,0,0,1,02/18/2023,away,16340,769,Western Caro.,9,True,1,6,-5,loss,2390656,5,2023,1,24,3,0.25,0.25,0.5,0.75,0.25,0.042,0.375,0.0,0.0,0.357,0.324,-1.054,2.714,5
2,6,34,7,1,0,14,2,4,8,1,0,0,9,2,0,0,0,0,2,02/18/2023,away,16340,769,Western Caro.,9,True,6,11,-5,loss,2407905,5,2023,1,43,4,0.372,0.206,0.412,0.784,0.206,0.047,0.209,0.186,1.125,0.217,0.375,0.351,7.102,5
3,3,33,6,1,0,7,0,1,4,0,0,0,11,1,0,0,0,0,1,02/19/2023,away,16340,769,Western Caro.,9,True,3,2,1,win,2391007,5,2023,1,37,5,0.27,0.182,0.212,0.482,0.03,0.0,0.297,0.108,2.75,0.273,0.249,-4.457,1.352,5
0,12,37,14,2,1,21,1,12,4,3,1,0,8,0,0,0,1,0,0,02/17/2023,home,16340,575,Richmond,9,True,12,3,9,win,2390261,8,2023,1,45,10,0.467,0.378,0.568,1.035,0.19,0.022,0.178,0.089,2.0,0.448,0.473,4.87,11.935,8
1,13,35,15,3,1,26,2,13,7,1,2,0,5,2,0,0,0,0,0,02/18/2023,home,16340,575,Richmond,9,True,13,1,12,win,2390509,8,2023,1,45,9,0.511,0.429,0.743,1.254,0.314,0.044,0.111,0.156,0.714,0.433,0.541,7.994,15.059,8
2,14,29,12,2,0,17,1,13,6,5,1,1,8,0,0,0,1,0,0,02/19/2023,home,16340,575,Richmond,9,True,14,1,13,win,2390826,8,2023,1,42,9,0.548,0.414,0.586,1.134,0.172,0.024,0.19,0.143,1.333,0.524,0.521,6.603,13.197,8
3,7,34,11,0,1,22,3,6,7,2,0,0,3,2,0,0,2,0,0,02/21/2023,home,16340,692,Tennessee Tech,9,True,7,4,3,win,2391089,8,2023,1,43,7,0.465,0.324,0.647,1.112,0.323,0.07,0.07,0.163,0.429,0.286,0.496,5.663,12.414,8
4,10,30,12,1,0,19,2,8,5,0,0,1,3,1,0,0,1,0,1,02/22/2023,home,16340,695,UT Martin,9,True,10,0,10,win,2391207,8,2023,1,36,9,0.472,0.4,0.633,1.105,0.233,0.056,0.083,0.139,0.6,0.4,0.493,4.631,10.283,8
0,5,33,12,1,1,15,0,4,5,0,0,0,10,0,0,0,8,0,0,02/17/2023,away,16340,17,Alcorn,9,True,5,4,1,win,2390445,6,2023,1,38,10,0.447,0.364,0.455,0.902,0.091,0.0,0.263,0.132,2.0,0.522,0.431,2.483,8.449,6
1,9,24,8,3,0,14,1,9,8,1,1,1,8,0,0,0,2,0,0,02/18/2023,away,16340,17,Alcorn,9,True,9,5,4,win,2390778,6,2023,1,35,4,0.486,0.333,0.583,1.069,0.25,0.029,0.229,0.229,1.0,0.438,0.479,4.002,9.497,6
2,13,37,8,1,0,12,1,9,12,1,1,0,13,0,0,0,10,0,0,02/19/2023,away,16340,17,Alcorn,9,True,13,3,10,win,2390978,6,2023,1,51,6,0.412,0.216,0.324,0.736,0.108,0.02,0.255,0.235,1.083,0.292,0.377,0.521,8.528,6
3,0,25,3,0,0,3,0,0,4,2,0,0,13,0,0,2,3,0,0,02/21/2023,away,16340,694,Tennessee,9,True,0,10,-10,loss,2391176,6,2023,1,31,3,0.29,0.12,0.12,0.41,0.0,0.0,0.419,0.129,3.25,0.25,0.245,-3.861,1.006,6
4,1,21,2,0,1,4,0,1,1,0,0,0,10,0,1,0,0,0,0,02/22/2023,away,16340,694,Tennessee,9,True,1,23,-22,loss,2391238,6,2023,1,22,1,0.136,0.095,0.19,0.326,0.095,0.0,0.455,0.045,10.0,0.182,0.154,-4.784,-1.33,6
0,13,35,12,3,0,18,1,11,10,1,2,0,5,2,0,0,0,0,1,02/17/2023,home,16340,308,Purdue Fort Wayne,9,True,13,0,13,win,2390466,7,2023,1,48,8,0.479,0.343,0.514,0.993,0.171,0.021,0.104,0.208,0.5,0.355,0.461,4.606,12.142,7
1,3,32,7,2,0,12,1,3,3,2,0,0,11,1,1,0,1,0,1,02/18/2023,home,16340,308,Purdue Fort Wayne,9,True,3,4,-1,loss,2390768,7,2023,1,37,4,0.324,0.219,0.375,0.699,0.156,0.027,0.297,0.081,3.667,0.3,0.334,-1.247,4.562,7
2,18,42,22,2,2,37,3,17,7,0,1,0,3,3,0,0,4,0,3,02/18/2023,home,16340,308,Purdue Fort Wayne,9,True,18,4,14,win,2408287,7,2023,1,50,15,0.58,0.524,0.881,1.461,0.357,0.06,0.06,0.14,0.429,0.514,0.632,13.527,21.377,7
3,13,36,11,2,1,18,1,12,11,1,0,0,5,1,0,0,2,0,1,02/19/2023,home,16340,308,Purdue Fort Wayne,9,True,13,11,2,win,2391061,7,2023,1,48,7,0.479,0.306,0.5,0.979,0.194,0.021,0.104,0.229,0.455,0.333,0.465,4.802,12.338,7
4,2,32,7,2,0,9,0,2,6,1,0,0,13,2,0,0,0,0,2,02/21/2023,away,16340,716,Troy,9,True,2,10,-8,loss,2391194,7,2023,1,39,5,0.359,0.219,0.281,0.64,0.062,0.0,0.333,0.154,2.167,0.368,0.33,-1.473,4.65,7
0,4,43,10,2,0,12,0,3,8,1,0,0,10,0,1,0,2,0,0,02/17/2023,neutral,16340,202,Eastern Ky.,11,True,4,5,-1,loss,2390347,9,2023,1,52,8,0.365,0.233,0.279,0.644,0.046,0.0,0.192,0.154,1.25,0.303,0.333,-1.805,6.359,9
1,4,26,2,0,0,2,0,2,5,4,0,0,6,0,1,0,2,0,0,02/18/2023,home,16340,508,Northwestern St.,9,True,4,3,1,win,2390590,9,2023,1,35,2,0.314,0.077,0.077,0.391,0.0,0.0,0.171,0.143,1.2,0.1,0.258,-3.895,1.6,9
2,6,37,11,1,0,15,1,6,2,1,0,1,9,0,1,0,2,0,0,02/19/2023,away,16340,646,South Alabama,9,True,6,7,-1,loss,2391055,9,2023,1,41,9,0.341,0.297,0.405,0.746,0.108,0.024,0.22,0.049,4.5,0.37,0.346,-0.879,5.558,9
3,1,25,3,0,0,3,0,1,4,0,0,0,7,0,0,0,0,0,0,02/22/2023,away,16340,736,Vanderbilt,9,True,1,13,-12,loss,2391213,9,2023,1,29,3,0.241,0.12,0.12,0.361,0.0,0.0,0.241,0.138,1.75,0.167,0.207,-4.737,-0.184,9
0,5,35,8,2,0,10,0,4,1,0,2,0,9,1,0,0,3,0,1,02/23/2023,away,16340,283,Hofstra,9,True,5,6,-1,loss,2391830,14,2023,1,38,6,0.237,0.229,0.286,0.523,0.057,0.0,0.237,0.026,9.0,0.286,0.239,-4.966,1.0,14
0,4,28,6,1,1,9,0,4,3,0,0,0,12,1,1,0,4,0,0,02/17/2023,home,16340,6,Alabama A&M,9,True,4,5,-1,loss,2390445,17,2023,1,31,4,0.29,0.214,0.321,0.611,0.107,0.0,0.387,0.097,4.0,0.375,0.294,-2.31,2.557,17
1,5,27,9,2,0,11,0,4,1,1,0,1,9,0,0,0,0,0,0,02/18/2023,home,16340,6,Alabama A&M,9,True,5,9,-4,loss,2390778,17,2023,1,30,7,0.367,0.333,0.407,0.774,0.074,0.0,0.3,0.033,9.0,0.5,0.362,-0.153,4.557,17
2,3,33,10,2,0,12,0,3,3,2,0,0,8,0,0,1,1,0,0,02/19/2023,home,16340,6,Alabama A&M,9,True,3,13,-10,loss,2390978,17,2023,1,38,8,0.395,0.303,0.364,0.759,0.061,0.0,0.211,0.079,2.667,0.4,0.373,0.233,6.199,17
0,5,33,9,0,1,14,1,4,3,3,0,0,5,0,1,0,1,0,0,02/17/2023,home,16340,11504,Queens (NC),9,True,5,2,3,win,2390399,27,2023,1,39,7,0.385,0.273,0.424,0.809,0.151,0.026,0.128,0.077,1.667,0.296,0.386,0.757,6.88,27
1,5,33,12,2,0,14,0,5,4,4,1,0,2,2,0,0,0,0,2,02/18/2023,home,16340,11504,Queens (NC),9,True,5,2,3,win,2390716,27,2023,1,42,10,0.476,0.364,0.424,0.9,0.06,0.0,0.048,0.095,0.5,0.375,0.44,3.13,9.724,27
2,13,35,11,2,0,22,3,12,7,2,0,0,7,1,0,0,3,0,1,02/19/2023,home,16340,11504,Queens (NC),9,True,13,5,8,win,2391037,27,2023,1,44,6,0.455,0.314,0.629,1.084,0.315,0.068,0.159,0.159,1.0,0.32,0.485,5.301,12.209,27
3,16,45,18,3,0,27,2,16,7,1,0,0,10,2,0,0,2,0,1,02/21/2023,away,16340,19651,High Point,9,True,16,7,9,win,2391163,27,2023,1,53,13,0.491,0.4,0.6,1.091,0.2,0.038,0.189,0.132,1.429,0.485,0.5,7.197,15.518,27
0,3,30,7,1,0,11,1,3,2,1,1,0,10,0,0,0,1,0,0,02/17/2023,neutral,16340,694,Tennessee,9,True,3,1,2,win,2390492,29,2023,1,34,5,0.294,0.233,0.367,0.661,0.134,0.029,0.294,0.059,5.0,0.3,0.306,-2.117,3.221,29
1,0,32,6,4,0,10,0,0,4,1,0,0,8,1,0,0,0,0,1,02/18/2023,neutral,16340,96,Fresno St.,9,True,0,5,-5,loss,2390589,29,2023,1,37,2,0.297,0.188,0.312,0.609,0.124,0.0,0.216,0.108,2.0,0.25,0.299,-2.569,3.24,29
2,7,37,10,2,1,20,2,7,6,2,0,0,9,0,0,0,1,0,0,02/19/2023,neutral,16340,416,Michigan St.,9,True,7,1,6,win,2391065,29,2023,1,45,5,0.4,0.27,0.541,0.941,0.271,0.044,0.2,0.133,1.5,0.308,0.428,2.802,9.867,29
3,9,38,11,3,0,17,1,9,4,2,0,0,11,0,0,0,3,1,0,02/20/2023,neutral,16340,112,UC San Diego,9,True,9,8,1,win,2391071,29,2023,1,43,7,0.419,0.289,0.447,0.866,0.158,0.023,0.256,0.093,2.75,0.385,0.402,1.536,8.287,29
0,6,32,14,3,1,22,1,6,5,2,1,1,4,1,0,2,2,2,1,02/17/2023,home,16340,626,San Diego St.,9,True,6,5,1,win,2390292,28,2023,1,39,9,0.59,0.438,0.688,1.278,0.25,0.026,0.103,0.128,0.8,0.464,0.554,7.446,13.569,28
1,5,25,5,1,0,12,2,5,3,2,2,0,8,2,0,0,0,0,2,02/18/2023,home,16340,626,San Diego St.,9,True,5,3,2,win,2390529,28,2023,1,32,2,0.312,0.2,0.48,0.792,0.28,0.062,0.25,0.094,2.667,0.176,0.348,-0.621,4.403,28
2,1,27,8,2,0,10,0,1,3,1,0,0,6,2,1,0,0,0,1,02/19/2023,home,16340,626,San Diego St.,9,True,1,0,1,win,2390850,28,2023,1,31,6,0.387,0.296,0.37,0.757,0.074,0.0,0.194,0.097,2.0,0.381,0.37,0.095,4.962,28
3,6,31,10,3,0,22,3,6,4,1,1,0,6,1,1,0,2,1,0,02/21/2023,home,16340,465,UNLV,9,True,6,3,3,win,2391104,28,2023,1,36,4,0.444,0.323,0.71,1.154,0.387,0.083,0.167,0.111,1.5,0.304,0.489,4.484,10.136,28
0,3,34,8,2,0,10,0,3,4,1,0,0,12,2,0,0,0,0,2,02/17/2023,neutral,16340,703,Texas,9,True,3,2,1,win,2390489,31,2023,1,39,6,0.333,0.235,0.294,0.627,0.059,0.0,0.308,0.103,3.0,0.364,0.314,-2.11,4.013,31
1,6,37,9,2,0,23,4,6,2,0,0,0,11,0,0,0,0,0,0,02/18/2023,neutral,16340,698,TCU,9,True,6,18,-12,loss,2390811,31,2023,1,39,3,0.282,0.243,0.622,0.904,0.379,0.103,0.282,0.051,5.5,0.227,0.383,0.637,6.76,31
2,18,32,14,2,1,24,2,17,10,3,3,0,9,0,0,1,0,0,0,02/19/2023,neutral,16340,521,Oklahoma St.,9,True,18,1,17,win,2391051,31,2023,1,48,9,0.562,0.438,0.75,1.312,0.312,0.042,0.188,0.208,0.9,0.5,0.563,9.605,17.141,31
3,9,26,9,3,0,12,0,9,7,2,4,0,5,3,0,0,4,0,1,02/21/2023,home,16340,261,Grambling,9,True,9,7,2,win,2391145,31,2023,1,39,6,0.462,0.346,0.462,0.924,0.116,0.0,0.128,0.179,0.714,0.36,0.429,2.469,8.592,31
0,12,37,15,2,0,23,2,12,4,4,2,0,8,0,0,0,2,0,0,02/17/2023,home,16340,2678,Ark.-Pine Bluff,9,True,12,2,10,win,2390275,30,2023,1,47,11,0.489,0.405,0.622,1.111,0.217,0.043,0.17,0.085,2.0,0.448,0.497,6.238,13.617,30
1,4,32,9,1,0,10,0,3,4,1,1,1,11,0,0,0,2,1,0,02/18/2023,home,16340,2678,Ark.-Pine Bluff,9,True,4,3,1,win,2390517,30,2023,1,38,8,0.395,0.281,0.312,0.707,0.031,0.0,0.289,0.105,2.75,0.409,0.338,-1.125,4.841,30
2,12,38,15,4,0,19,0,8,6,1,0,0,5,1,1,0,1,0,1,02/19/2023,home,16340,2678,Ark.-Pine Bluff,9,True,12,8,4,win,2390836,30,2023,1,45,11,0.489,0.395,0.5,0.989,0.105,0.0,0.111,0.133,0.833,0.455,0.471,4.778,11.843,30
3,3,32,6,2,0,8,0,2,6,1,0,0,11,1,0,0,0,0,1,02/21/2023,away,16340,433,Ole Miss,9,True,3,11,-8,loss,2391172,30,2023,1,39,4,0.333,0.188,0.25,0.583,0.062,0.0,0.282,0.154,1.833,0.286,0.306,-2.429,3.694,30
0,9,31,7,1,0,11,1,8,5,4,0,0,10,1,1,0,0,0,1,02/17/2023,home,16340,649,South Dakota St.,9,True,9,6,3,win,2390302,32,2023,1,40,5,0.4,0.226,0.355,0.755,0.129,0.025,0.25,0.125,2.0,0.3,0.379,0.49,6.77,32
1,1,33,7,0,0,7,0,1,6,1,0,0,11,1,0,0,1,0,1,02/18/2023,home,16340,649,South Dakota St.,9,True,1,3,-2,loss,2390537,32,2023,1,40,7,0.35,0.212,0.212,0.562,0.0,0.0,0.275,0.15,1.833,0.318,0.304,-2.573,3.707,32
2,7,33,12,3,0,18,1,7,4,0,1,0,7,0,2,0,0,0,0,02/19/2023,home,16340,649,South Dakota St.,9,True,7,6,1,win,2390862,32,2023,1,38,8,0.421,0.364,0.545,0.966,0.181,0.026,0.184,0.105,1.75,0.423,0.438,2.754,8.72,32
3,8,28,7,1,2,18,2,8,6,2,1,0,4,1,1,0,5,0,1,02/21/2023,home,16340,2678,Ark.-Pine Bluff,9,True,8,3,5,win,2391114,32,2023,1,37,2,0.405,0.25,0.643,1.048,0.393,0.054,0.108,0.162,0.667,0.217,0.453,3.249,9.058,32
0,2,28,3,0,0,3,0,2,2,1,1,0,11,0,1,0,0,0,0,02/17/2023,away,16340,30,Arkansas St.,9,True,2,12,-10,loss,2390275,2678,2023,1,32,3,0.188,0.107,0.107,0.295,0.0,0.0,0.344,0.062,5.5,0.167,0.163,-6.665,-1.641,2678
1,3,33,7,0,0,7,0,3,4,1,0,2,2,1,0,0,1,0,1,02/18/2023,away,16340,30,Arkansas St.,9,True,3,4,-1,loss,2390517,2678,2023,1,40,7,0.3,0.212,0.212,0.512,0.0,0.0,0.05,0.1,0.5,0.226,0.265,-4.165,2.115,2678
2,8,37,13,3,0,19,1,8,6,0,0,0,11,0,2,1,2,0,0,02/19/2023,away,16340,30,Arkansas St.,9,True,8,12,-4,loss,2390836,2678,2023,1,43,9,0.442,0.351,0.514,0.956,0.163,0.023,0.256,0.14,1.833,0.48,0.445,3.424,10.175,2678
3,3,33,7,2,0,12,1,3,1,0,0,0,12,0,1,0,0,0,0,02/21/2023,away,16340,32,Little Rock,9,True,3,8,-5,loss,2391114,2678,2023,1,34,4,0.235,0.212,0.364,0.599,0.152,0.029,0.353,0.029,12.0,0.3,0.27,-3.367,1.971,2678
0,5,33,10,3,1,18,1,5,3,3,2,0,12,1,0,2,1,0,0,02/17/2023,neutral,16340,721,Air Force,9,True,5,2,3,win,2390312,725,2023,1,41,5,0.39,0.303,0.545,0.935,0.242,0.024,0.293,0.073,4.0,0.409,0.416,2.051,8.488,725
1,6,36,11,2,0,13,0,6,1,0,0,0,10,0,0,0,3,0,0,02/18/2023,neutral,16340,721,Air Force,9,True,6,4,2,win,2390581,725,2023,1,37,9,0.324,0.306,0.361,0.685,0.055,0.0,0.27,0.027,10.0,0.423,0.323,-1.662,4.147,725
2,3,29,4,3,0,10,1,3,5,0,0,0,6,3,0,0,0,0,0,02/19/2023,neutral,16340,721,Air Force,9,True,3,9,-6,loss,2390877,725,2023,1,34,0,0.265,0.138,0.345,0.61,0.207,0.029,0.176,0.147,1.2,0.136,0.289,-2.708,2.63,725
0,8,36,11,2,0,16,1,6,7,0,1,0,11,0,0,0,0,0,0,02/17/2023,home,16340,306,Indiana,9,True,8,4,4,win,2390244,37,2023,1,44,8,0.409,0.306,0.444,0.853,0.138,0.023,0.25,0.159,1.571,0.4,0.402,1.572,8.48,37
1,6,28,8,4,0,12,0,6,9,2,0,2,4,2,0,0,1,0,2,02/18/2023,home,16340,306,Indiana,9,True,6,1,5,win,2390728,37,2023,1,41,4,0.463,0.286,0.429,0.892,0.143,0.0,0.098,0.22,0.444,0.333,0.431,2.679,9.116,37
2,2,35,8,2,0,13,1,2,2,0,0,0,9,0,0,0,0,0,0,02/19/2023,home,16340,306,Indiana,9,True,2,11,-9,loss,2390976,37,2023,1,37,5,0.27,0.229,0.371,0.641,0.142,0.027,0.243,0.054,4.5,0.28,0.295,-2.72,3.089,37
3,13,28,15,1,0,22,2,13,6,3,2,0,3,1,0,0,0,0,1,02/21/2023,neutral,16340,487,North Ala.,9,True,13,1,12,win,2391124,37,2023,1,39,12,0.615,0.536,0.786,1.401,0.25,0.051,0.077,0.154,0.5,0.52,0.61,9.675,15.798,37
0,2,28,5,1,1,11,1,2,3,1,0,0,7,1,0,0,0,0,1,02/17/2023,home,16340,299,Illinois St.,9,True,2,13,-11,loss,2390419,43,2023,1,32,2,0.281,0.179,0.393,0.674,0.214,0.031,0.219,0.094,2.333,0.2,0.312,-1.797,3.227,43
1,9,37,14,3,0,17,0,9,2,0,1,0,7,0,0,0,3,0,0,02/18/2023,home,16340,299,Illinois St.,9,True,9,1,8,win,2390686,43,2023,1,40,11,0.4,0.378,0.459,0.859,0.081,0.0,0.175,0.05,3.5,0.452,0.398,1.266,7.546,43
2,13,47,16,3,0,31,4,10,5,1,0,0,18,0,0,0,1,0,0,02/19/2023,home,16340,299,Illinois St.,10,True,13,14,-1,loss,2391009,43,2023,1,53,9,0.415,0.34,0.66,1.075,0.32,0.075,0.34,0.094,3.6,0.48,0.474,5.79,14.111,43
3,14,37,13,4,0,26,3,13,6,4,0,0,5,1,0,0,1,1,1,02/21/2023,home,16340,659,Southern Ill.,9,True,14,13,1,win,2391151,43,2023,1,46,6,0.522,0.351,0.703,1.225,0.352,0.065,0.109,0.13,0.833,0.345,0.539,8.078,15.3,43
0,2,31,4,0,1,9,1,2,4,0,0,0,10,0,0,0,1,0,0,02/17/2023,away,16340,458,Charlotte,9,True,2,1,1,win,2390415,47,2023,1,35,2,0.229,0.129,0.29,0.519,0.161,0.029,0.286,0.114,2.5,0.15,0.248,-4.252,1.243,47
1,4,24,5,0,0,11,2,4,3,1,0,0,9,2,0,0,0,0,2,02/18/2023,away,16340,458,Charlotte,9,True,4,9,-5,loss,2390651,47,2023,1,28,3,0.321,0.208,0.458,0.779,0.25,0.071,0.321,0.107,3.0,0.231,0.356,-0.314,4.082,47
2,5,29,9,3,0,15,1,5,6,0,0,0,11,0,1,0,2,0,0,02/18/2023,away,16340,458,Charlotte,9,True,5,9,-4,loss,2407900,47,2023,1,35,5,0.429,0.31,0.517,0.946,0.207,0.029,0.314,0.171,1.833,0.471,0.439,2.573,8.068,47
3,5,25,5,1,0,12,2,5,3,3,0,0,6,1,0,0,0,0,1,02/19/2023,away,16340,458,Charlotte,9,True,5,19,-14,loss,2390996,47,2023,1,31,2,0.355,0.2,0.48,0.835,0.28,0.065,0.194,0.097,2.0,0.176,0.385,0.57,5.437,47
0,6,37,10,1,0,11,0,5,9,1,0,0,7,0,0,0,2,0,0,02/17/2023,home,16340,129,Central Mich.,10,True,6,5,1,win,2390378,51,2023,1,47,9,0.426,0.27,0.297,0.723,0.027,0.0,0.149,0.191,0.778,0.333,0.377,0.48,7.859,51
1,5,34,8,2,0,10,0,4,8,2,0,1,9,0,0,0,0,0,0,02/18/2023,home,16340,129,Central Mich.,9,True,5,20,-15,loss,2390742,51,2023,1,45,6,0.4,0.235,0.294,0.694,0.059,0.0,0.2,0.178,1.125,0.32,0.36,-0.322,6.743,51
2,3,34,7,0,1,12,1,3,0,0,1,0,11,0,0,0,1,0,0,02/19/2023,home,16340,129,Central Mich.,9,True,3,4,-1,loss,2391001,51,2023,1,35,5,0.2,0.206,0.353,0.553,0.147,0.029,0.314,0.0,0.0,0.261,0.239,-4.574,0.921,51
3,11,34,9,3,0,18,2,11,5,2,1,0,10,0,0,0,0,0,0,02/21/2023,home,16340,287,Houston Christian,9,True,11,4,7,win,2391200,51,2023,1,42,4,0.381,0.265,0.529,0.91,0.264,0.048,0.238,0.119,2.0,0.304,0.41,1.844,8.438,51
0,2,26,6,1,0,7,0,2,3,1,0,0,9,1,0,0,1,0,1,02/18/2023,home,16340,695,UT Martin,9,True,2,4,-2,loss,2390548,14927,2023,1,30,5,0.333,0.231,0.269,0.602,0.038,0.0,0.3,0.1,3.0,0.353,0.307,-1.838,2.872,14927
1,3,37,9,4,0,13,0,2,2,0,0,0,8,0,0,0,1,0,0,02/18/2023,home,16340,695,UT Martin,9,True,3,7,-4,loss,2408867,14927,2023,1,39,5,0.282,0.243,0.351,0.633,0.108,0.0,0.205,0.051,4.0,0.31,0.296,-2.827,3.296,14927
2,11,31,14,3,0,35,6,11,2,1,1,0,5,0,0,0,0,0,0,02/19/2023,home,16340,695,UT Martin,9,True,11,4,7,win,2390259,14927,2023,1,35,5,0.486,0.452,1.129,1.615,0.677,0.171,0.143,0.057,2.5,0.381,0.654,10.255,15.75,14927
3,4,28,4,1,0,8,1,3,3,0,0,1,7,0,0,0,0,0,0,02/19/2023,home,16340,695,UT Martin,9,True,4,2,2,win,2390824,14927,2023,1,32,2,0.219,0.143,0.286,0.505,0.143,0.031,0.219,0.094,2.333,0.15,0.236,-4.28,0.744,14927
4,7,38,10,2,0,12,0,7,4,1,0,0,9,1,0,0,2,0,0,02/21/2023,home,16340,772,Western Ky.,9,True,7,9,-2,loss,2391088,14927,2023,1,43,8,0.349,0.263,0.316,0.665,0.053,0.0,0.209,0.093,2.25,0.345,0.329,-1.668,5.083,14927
0,3,32,6,1,0,7,0,3,8,1,0,1,12,2,0,0,0,0,1,02/17/2023,home,16340,352,Lehigh,9,True,3,5,-2,loss,2390488,61,2023,1,42,5,0.357,0.188,0.219,0.576,0.031,0.0,0.286,0.19,1.5,0.3,0.313,-2.315,4.279,61
1,7,38,10,0,0,10,0,6,6,0,0,1,6,1,0,0,1,0,1,02/18/2023,home,16340,352,Lehigh,10,True,7,6,1,win,2390805,61,2023,1,45,10,0.356,0.263,0.263,0.619,0.0,0.0,0.133,0.133,1.0,0.312,0.316,-2.343,4.722,61
2,4,33,9,2,0,11,0,3,2,0,0,1,11,0,0,0,1,0,0,02/19/2023,home,16340,352,Lehigh,9,True,4,3,1,win,2391029,61,2023,1,36,7,0.306,0.273,0.333,0.639,0.06,0.0,0.306,0.056,5.5,0.409,0.301,-2.426,3.226,61
3,2,31,8,0,0,8,0,2,9,1,0,0,12,4,0,0,0,0,0,02/21/2023,away,16340,231,FIU,9,True,2,12,-10,loss,2391190,61,2023,1,41,8,0.439,0.258,0.258,0.697,0.0,0.0,0.293,0.22,1.333,0.421,0.377,0.419,6.856,61
0,3,32,8,0,0,8,0,3,1,1,1,0,9,2,0,0,0,0,2,02/17/2023,away,16340,147,Clemson,9,True,3,11,-8,loss,2390409,62,2023,1,35,8,0.286,0.25,0.25,0.536,0.0,0.0,0.257,0.029,9.0,0.333,0.263,-3.716,1.779,62
1,2,31,9,0,0,9,0,1,4,1,0,1,7,3,0,1,0,0,2,02/18/2023,away,16340,147,Clemson,9,True,2,3,-1,loss,2390726,62,2023,1,37,9,0.378,0.29,0.29,0.668,0.0,0.0,0.189,0.108,1.75,0.375,0.338,-1.095,4.714,62
2,1,35,9,0,0,9,0,1,3,1,0,0,8,1,0,0,0,0,1,02/19/2023,away,16340,147,Clemson,9,True,1,19,-18,loss,2390915,62,2023,1,39,9,0.333,0.257,0.257,0.59,0.0,0.0,0.205,0.077,2.667,0.333,0.3,-2.668,3.455,62
